TIGHT n=18 m=140 tag=perturb g6=Q~~~~~~^|~x}z~|~~^~z~~n~nVw t=8.8s
TIGHT n=18 m=104 tag=perturb g6=QR^~fyk^[\w}b}|~fB~uN|Xq]Lo t=0.3s
TIGHT n=18 m=120 tag=perturb g6=Q~n~~~~^|zxEz~|rvU\m]}n}lVO t=0.8s
TIGHT n=18 m=99 tag=perturb g6=QtxW|}RN~MOnbtc\nI~_n~n|rUg t=0.5s
TIGHT n=18 m=104 tag=perturb g6=Q~b~[sv^|fhfgST^nr}ihw}^z\w t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Qzf~vw~^|~af^ZTYeik_xku~^rw t=0.9s
TIGHT n=18 m=103 tag=perturb g6=QZ^zfy{^[|_}z~\^dVzuNlYuKNO t=0.9s
TIGHT n=18 m=115 tag=perturb g6=Q}m~~|V^|~bNb}dz|x\jo{e~|~w t=0.9s
TIGHT n=18 m=105 tag=perturb g6=Qvf|d{v^\}Loz^K\nzlg|_qz~^w t=0.3s
TIGHT n=18 m=114 tag=perturb g6=Qi~zV~k^w~jnZ{|nz^trz^vw{Rw t=1.8s
TIGHT n=18 m=112 tag=perturb g6=Qzu~v~~^|ziGz[|l\nQZVnVpn^w t=0.8s
TIGHT n=18 m=120 tag=perturb g6=Q~L~v|vN|~f~~~t~nZ~aL^E}jtw t=0.4s
TIGHT n=18 m=112 tag=perturb g6=Q~{~~|^]|~\xx]LEvZltN~vpc^g t=0.4s
TIGHT n=18 m=106 tag=perturb g6=Q~^ybzc^[|q|vw{~n~[ucnRY{^o t=0.4s
TIGHT n=18 m=94 tag=perturb g6=Qx@wV{Vn^n`zGuJ~Z^xdx^jPsX_ t=0.3s
TIGHT n=18 m=113 tag=perturb g6=Qnjq~|tN~vRZbyuz~z~jnie||Zo t=2.1s
TIGHT n=18 m=106 tag=perturb g6=Q|ir~|~]~vdmZ}uLuzv`ewdftnO t=0.8s
TIGHT n=18 m=101 tag=perturb g6=Q~v}rpRDHvenWZt^NZzeL~?||~o t=1.7s
TIGHT n=18 m=123 tag=perturb g6=Q}~zn~|^|mz~r|\z}UnHZ~n~|^g t=1.1s
TIGHT n=18 m=111 tag=perturb g6=Qtvw|^v~}avbNF|j~VXZ|dnmz^w t=0.7s
TIGHT n=18 m=101 tag=perturb g6=Qnho~i~Jvn_~db^~Z^rks^notY_ t=0.6s
TIGHT n=18 m=104 tag=perturb g6=QvJnD{VZT~qvzzP|lweg\ku~~^w t=1.2s
TIGHT n=18 m=104 tag=perturb g6=Q~nx~oz\\}lBz^tF~zjg{kuZhsg t=0.6s
TIGHT n=18 m=104 tag=perturb g6=Q~~^~xw]{|xkywLt^NnrJ^cKiVw t=0.3s
TIGHT n=18 m=100 tag=perturb g6=Q|uo~uZZ}NRfIdYN^Jzod~n}yTg t=0.3s
TIGHT n=18 m=111 tag=perturb g6=QzF^~mUNurFZv~}di~{w~{an|~w t=0.8s
TIGHT n=18 m=98 tag=perturb g6=QlZYl^O~|v}yjksvPk^drrFvkZO t=0.6s
TIGHT n=18 m=120 tag=perturb g6=Qn~~fz{~T^x}z~}fnjxv]vRu~Nw t=1.7s
TIGHT n=18 m=114 tag=perturb g6=Q^nun|vN|~e~z~t}bZ~ak~A}|uW t=1.7s
TIGHT n=18 m=120 tag=perturb g6=Q}Y^v~~^zbanjn\\~^|p|~n}z^w t=2.0s
TIGHT n=18 m=98 tag=perturb g6=Ql~{jZsU]nomVX~~^zGUm~rU_L_ t=0.3s
TIGHT n=18 m=112 tag=perturb g6=QlzzD~~^~ffNo^\\f^zD|vm}r^g t=0.9s
TIGHT n=18 m=92 tag=perturb g6=Qp]^rch}[tX{o|Kw^^x~@Gqmm]w t=0.2s
TIGHT n=18 m=104 tag=perturb g6=Q{mh|kVft~mTz^|Mxzlg{pvznJg t=0.5s
TIGHT n=18 m=114 tag=perturb g6=Q^\nz|vn~mFzznf~|ZnaL[Fu|vw t=0.3s
TIGHT n=18 m=106 tag=perturb g6=QZrX~~~G^^yemyT}z^zxszkOz^W t=0.3s
TIGHT n=18 m=109 tag=perturb g6=Qn~v~\~]lyxGY\Tj}Y~rvq~~LRW t=0.8s
TIGHT n=18 m=97 tag=perturb g6=QvL^s_~VxsFrzzS|nR`wkkqyzvw t=0.3s
TIGHT n=18 m=109 tag=perturb g6=Qe~Zv~~[nJ\Wbz^~u[t^Wjv|nVg t=1.8s
TIGHT n=18 m=111 tag=perturb g6=Qz|n~~~]lzmHx~xkNuvz^NVwHVW t=0.3s
TIGHT n=18 m=116 tag=perturb g6=Q}~Zn~\V{mZ~r|[r}UnHZ~n~|^g t=0.7s
TIGHT n=18 m=111 tag=perturb g6=Q~\sn|v^}nE~w^t|NZ~a\^E}|rg t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Q|^^J~{vwvO{z~S\m^Xu^\VueMw t=1.0s
TIGHT n=18 m=107 tag=perturb g6=Q|nnj~d]S~Xw~\~vzJ|zw]rEh\W t=0.7s
TIGHT n=18 m=104 tag=perturb g6=QFZWVmznwdfnzFnTUZXPvjn~z~w t=0.5s
TIGHT n=18 m=102 tag=perturb g6=Q~z~HLbFlLxnRUD^mZhk~so~~^w t=0.3s
TIGHT n=18 m=112 tag=perturb g6=Q{ZRf~V^zbfnjn\\~NxW|}N}z~W t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Q\nv{hvFt}NvnzS^nrfg|Co}^vw t=0.6s
TIGHT n=18 m=109 tag=perturb g6=Qz|n~~~]lzmIx~xkNuvz^NPwHVW t=1.9s
TIGHT n=18 m=101 tag=perturb g6=Q{^nI~{Uo}T[z~\L~\wv\T^uEMg t=0.6s
TIGHT n=18 m=105 tag=perturb g6=Q|Yx~o]~~BvmJlvYpuxt|^n[xXw t=0.7s
TIGHT n=18 m=107 tag=perturb g6=Qz^mV~\^{vBiV|f[h^xE^~Buvnw t=2.1s
TIGHT n=18 m=120 tag=perturb g6=Q~jVv|v^xmanz~s~nz~jnyf~v~O t=1.8s
TIGHT n=18 m=114 tag=perturb g6=Q~^|e~{vwzT}z~\~n^xu^~RukEo t=1.8s
TIGHT n=18 m=96 tag=perturb g6=Qfdo{i^Zvnw~dqZzZZRks^nqsY_ t=0.3s
TIGHT n=18 m=104 tag=perturb g6=Q|\~I~{V{vP[z~\M~\xu\\VuEMg t=0.7s
TIGHT n=18 m=111 tag=perturb g6=QX}zn~~^^NyNjm[}~Ljdt}l{j^G t=0.4s
TIGHT n=18 m=130 tag=perturb g6=Q~n~~~t^t~e~z~Vz~~vnt{e~~^w t=4.8s
TIGHT n=18 m=117 tag=perturb g6=Q^njftz^\~zkz~|Nnzzjmwe|~^o t=1.7s
TIGHT n=18 m=111 tag=perturb g6=QxRxu~~^^ffnfzy~}VJpZ^YynUw t=0.5s
TIGHT n=18 m=98 tag=perturb g6=Q^Npj|vkj|veyW_h^y~hmga||Zo t=0.4s
TIGHT n=18 m=108 tag=perturb g6=Q{zwl^n^}av^FFRn~~rQ|mmIz^w t=0.8s
TIGHT n=18 m=108 tag=perturb g6=Qn~f~\~]lyxGY\Tj}Y~rvq~~XRW t=0.7s
TIGHT n=18 m=94 tag=perturb g6=Q|zg|[VNQaTrFl{J~^|Pl_aNz\w t=0.5s
TIGHT n=18 m=102 tag=perturb g6=Q|yX\^Z^}nsfIlpN^Jzot\k}ZVw t=1.7s
TIGHT n=18 m=98 tag=perturb g6=QYVXvCh]k|dUy|L~^^z`zVegm^w t=0.5s
TIGHT n=18 m=107 tag=perturb g6=Q?yw~|}J[ix~z}{zyY|rz^vypvw t=0.3s
TIGHT n=18 m=98 tag=perturb g6=Q|zg|[VnUQUpFn}N~^|pdeajzLg t=0.3s
TIGHT n=18 m=102 tag=perturb g6=Q|\ZvqtNtmn~~^BVn^xaLWNU\do t=0.5s
TIGHT n=18 m=105 tag=perturb g6=QvzyvxX^kucizsv^}~~hBwv|h]o t=0.7s
TIGHT n=18 m=113 tag=perturb g6=Qb~jv|}m[~g~`z|rzzl~zVVxlrw t=0.3s
TIGHT n=18 m=104 tag=perturb g6=Qv^~m~lrZVxaz~Utl^xi\}fajJ? t=0.7s
TIGHT n=18 m=111 tag=perturb g6=Qt~Y~~|uJVXGb~D\n[vz~N|~nVw t=0.9s
TIGHT n=18 m=96 tag=perturb g6=QM^|F|xayn\y~cdxlJweTrRVnMW t=0.3s
TIGHT n=18 m=111 tag=perturb g6=Q~~v{^v]lxp?Y~|~m]}f^zl~hVG t=1.8s
TIGHT n=18 m=115 tag=perturb g6=Q|}y~\~NlzxWzvH~~]~zSVV^}Vw t=1.9s
TIGHT n=18 m=110 tag=perturb g6=Q~K^~|vNl~f^znd~jX~aL^EMxrw t=0.6s
TIGHT n=18 m=111 tag=perturb g6=Q~~f|^v]lxxGY~|~l]|f^wl~hVG t=1.9s
TIGHT n=18 m=107 tag=perturb g6=QZ~^ud`}k|x}y|L~^^xrZUfgm^w t=0.3s
TIGHT n=18 m=121 tag=perturb g6=Q~nb~pz^|~f}z~tn~z~jnwU||Zo t=1.8s
TIGHT n=18 m=89 tag=perturb g6=QV]^V_h}KtX[o|L{^^x^J?qKN\g t=0.5s
TIGHT n=18 m=112 tag=perturb g6=Qt}v~~zQdzzkblzv~]~MUt~j{No t=0.6s
TIGHT n=18 m=107 tag=perturb g6=Q^nun|vJl|a~z~t}`Z}As~A}luw t=0.8s
TIGHT n=18 m=98 tag=perturb g6=Qzzy~Kvb~^jtztpwfzDh{u?Y|Eo t=0.3s
TIGHT n=18 m=112 tag=perturb g6=Q~yw}^~n}avzAl|~~^yR\iwmz^w t=1.7s
TIGHT n=18 m=110 tag=perturb g6=Q|zX~~Q]}Ivnj|xRNin_t~n}z^w t=0.6s
TIGHT n=18 m=104 tag=perturb g6=Qftul^~uGjH?jz~~~]~z[XbylVw t=1.1s
TIGHT n=18 m=107 tag=perturb g6=Qs~w||~zxIulFlhJ~^y`tmnzv^o t=0.7s
TIGHT n=18 m=111 tag=perturb g6=Q^^~bykV[|x}z~n~m\lu]nTU{^o t=0.3s
TIGHT n=18 m=109 tag=perturb g6=QV~]|~Vv[|x}gz|~n{lu^\BUfN_ t=1.1s
TIGHT n=18 m=100 tag=perturb g6=Qskz^ce^t~av~VhznXEkXKun^\w t=0.5s
TIGHT n=18 m=103 tag=perturb g6=Qnz]w{bz|vmyJl{vTu~tppU~kZO t=0.3s
TIGHT n=18 m=123 tag=perturb g6=Q~xtm|dVl~z~z~{|~^~n~mn^vTo t=1.9s
TIGHT n=18 m=102 tag=perturb g6=Qvlpv_VV|uNFzzS^nrfg|ci}zvw t=0.3s
TIGHT n=18 m=114 tag=perturb g6=Q|r|^}~zllrnJjlV}^wp{~~wy^w t=2.2s
TIGHT n=18 m=119 tag=perturb g6=Qx\]v~vZw~zzzyh|}W}~~{Nn~nw t=2.0s
TIGHT n=18 m=119 tag=perturb g6=Q~rv^v]]lzwHz~|~~N~t^}f~lVW t=0.6s
TIGHT n=18 m=106 tag=perturb g6=QzZZbnz~~fpTnnXvZFXxX|~|iCw t=0.7s
TIGHT n=18 m=110 tag=perturb g6=Q~n~|{v^|~efp^DNnjnioeuZv^g t=2.1s
TIGHT n=18 m=100 tag=perturb g6=Q~HuvxO\|}emZsuv^z~abwal|Zo t=0.3s
TIGHT n=18 m=120 tag=perturb g6=QZqn^~z]\YxM}~xz~]~~^~n~\VW t=2.3s
TIGHT n=18 m=102 tag=perturb g6=QT]GVzw^wbfnanl\vZxP|jn}n^w t=0.3s
TIGHT n=18 m=112 tag=perturb g6=Q~\nj|tNxmfzz~D~|R~b\[Fu|vw t=1.8s
TIGHT n=18 m=107 tag=perturb g6=Qxiv~|v~\Vv]zzqnmXbgjwe||xo t=1.6s
TIGHT n=18 m=98 tag=perturb g6=QxioBru[xVn~gUu^~z~mf{ekNY_ t=0.3s
TIGHT n=18 m=105 tag=perturb g6=QLjK}fn^~D}^nmw~^vjotN~mFQW t=0.3s
TIGHT n=18 m=107 tag=perturb g6=Q~~z|e}\^|nJz^TD|rbg|kuZktw t=1.6s
TIGHT n=18 m=99 tag=perturb g6=Qp~I|~@]u^jlzJfkzZ|qjMvaLuW t=0.3s
TIGHT n=18 m=123 tag=perturb g6=Qv~n~V~YlzxGfz|~~]~z]~v~nVw t=1.9s
TIGHT n=18 m=96 tag=perturb g6=Q\]tbH{SY\{uxv}~jRXc^wZTj\w t=0.6s
TIGHT n=18 m=109 tag=perturb g6=Q~dv~xvN|~d\z~tlnX~aL|cuLro t=0.6s
TIGHT n=18 m=124 tag=perturb g6=Q~nn~~Vu^~|^s^|~}]Y~n~n~LTW t=1.7s
TIGHT n=18 m=107 tag=perturb g6=Q|jw}^nl}auZ@fk~~^yR\i}mz^w t=0.9s
TIGHT n=18 m=120 tag=perturb g6=Q~n|V|{T{~xmzu|z}^pf^~~m~]w t=0.8s
TIGHT n=18 m=102 tag=perturb g6=Q{MRz|v}xxfny\ol^bNjbwe||Zo t=1.1s
TIGHT n=18 m=101 tag=perturb g6=QnUyfx]}\t|so^|~n^|VzdPuSH_ t=1.1s
TIGHT n=18 m=119 tag=perturb g6=Q~~~~|~]|zpIzv|VvYn~^~Nplv? t=1.7s
TIGHT n=18 m=102 tag=perturb g6=Q|}P~uZZ}NrVIbXNZjzod~n}yTg t=0.7s
TIGHT n=18 m=104 tag=perturb g6=Q~]\fn{fGjX{z~\~n^xuNnDuMY_ t=0.3s
TIGHT n=18 m=109 tag=perturb g6=Q~ZntTvM|mv~n]v~nZjpBkFu|fg t=1.2s
TIGHT n=18 m=116 tag=perturb g6=Q~n~|{r^~ydUz^T|nzng|ku~nVw t=0.9s
TIGHT n=18 m=108 tag=perturb g6=Q~n~t{v~|~efPZDNnjneoeuZv^g t=1.5s
TIGHT n=18 m=110 tag=perturb g6=QznZv|g][|x}W|]jN~zrZ|f{m^w t=1.8s
TIGHT n=18 m=103 tag=perturb g6=QPNw^^v^}avz@Nst{~ZR|mmmzRw t=0.3s
TIGHT n=18 m=99 tag=perturb g6=Q|gr~l|[tTuqz~dksB~`]]lfxz_ t=0.5s
TIGHT n=18 m=103 tag=perturb g6=Q~~nh{vyhhevzVD]NZhys|}Iv\g t=0.3s
TIGHT n=18 m=107 tag=perturb g6=Q|zW|v^z|NrnbLxvDJrolnnmz^w t=0.7s
TIGHT n=18 m=114 tag=perturb g6=Qgz~~~}Jp^juR}{zzZ|rz^vyuVw t=0.4s
TIGHT n=18 m=108 tag=perturb g6=Qm~\jZoV]~omRz~~[^Xmnnru{^o t=0.5s
TIGHT n=18 m=99 tag=perturb g6=Q~h}tyP~xvmIzsc_vyzjfwu{|Pw t=0.7s
TIGHT n=18 m=103 tag=perturb g6=Qum~Kcv\t~er~^HzJpEk|kuf~^w t=1.8s
TIGHT n=18 m=118 tag=perturb g6=Q]vv^|s~|~dsrvq~|~~jnof~~Zo t=2.5s
TIGHT n=18 m=102 tag=perturb g6=Q~i{vyP~|vmIzscafyvnrwe||Zo t=1.0s
TIGHT n=18 m=108 tag=perturb g6=Qzv}vlu\uvE~tz{Sixfy||i~|so t=1.7s
TIGHT n=18 m=102 tag=perturb g6=QPYw~|~^^N}njzK]NVmp~FKYXxW t=0.3s
TIGHT n=18 m=98 tag=perturb g6=QR~\^d`zl|woqHT|~^|rze~GENo t=0.5s
TIGHT n=18 m=107 tag=perturb g6=Qxn]t[mEY|X}k|L~\Z|Y^~~m{Vw t=0.7s
TIGHT n=18 m=103 tag=perturb g6=QdzW|~^NuMreblxNnmz_l~z~RFg t=0.3s
TIGHT n=18 m=95 tag=perturb g6=Q~flt{RO|~n~z^PNJpl_{keVjI? t=0.6s
TIGHT n=18 m=110 tag=perturb g6=Ql]jU{L^~~rnz}|nz^tRrJvwsVw t=0.7s
TIGHT n=18 m=121 tag=perturb g6=Qzz~zz}]|nxMz~|M~I~~^~n~lQW t=2.4s
TIGHT n=18 m=97 tag=perturb g6=QLhx^g~Jvn_z`fLz\Zrd~NnstY_ t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Qz?^zu~^zL{}i[T^ny|yh{u\rTg t=0.5s
TIGHT n=18 m=98 tag=perturb g6=Qy}~^r][VziX|x|LH\R@Hy~vLVG t=0.3s
TIGHT n=18 m=113 tag=perturb g6=Q|}[]rvRw}zzzyh|}Qyz~}dn~nw t=0.9s
TIGHT n=18 m=111 tag=perturb g6=Q|RX}r~^^frFF~w^~V^||^ZyyRo t=1.9s
TIGHT n=18 m=100 tag=perturb g6=Q~v}rpRDGvenWZ|\NZzeL~?||~o t=0.7s
TIGHT n=18 m=109 tag=perturb g6=Q}}v~]vNhzxGi~|~k}^n^y`zLBw t=1.0s
TIGHT n=18 m=105 tag=perturb g6=QvjnDkV^T~bvzzPzmpeg\ku~~^w t=0.3s
TIGHT n=18 m=100 tag=perturb g6=Qr~xl}wN{}n?qyS\zrNgpaq~^~w t=0.6s
TIGHT n=18 m=118 tag=perturb g6=Q^~zZ~m^s~x~z}|~zX|rzNNyhVW t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Q|ir~|~M~vdmZyfDuzv`dxlNtnO t=0.3s
TIGHT n=18 m=107 tag=perturb g6=Q{~p~ln^zFqDJnsN^V^PT~n}jVw t=0.9s
TIGHT n=18 m=113 tag=perturb g6=Qz}~~~~y|ZI@X||lL~r\VnvvlVW t=0.3s
TIGHT n=18 m=113 tag=perturb g6=Q{jbz|vN|~f}~zTz~j~lkwa|\Zw t=0.7s
TIGHT n=18 m=115 tag=perturb g6=Q~~b~tz^|zfkz~uhvz~jnwe|xZO t=2.1s
TIGHT n=18 m=106 tag=perturb g6=Qwzy^|Q~}~tvJnp{FRvUm}eyzNg t=0.8s
TIGHT n=18 m=117 tag=perturb g6=Qt}~~^~]lwz?vvdn^]}r]~v~nVw t=0.4s
TIGHT n=18 m=100 tag=perturb g6=Q~zzp[fFl^e[^YtNmzHg~_ah~~w t=0.9s
TIGHT n=18 m=101 tag=perturb g6=QezPv~vKnNSWfz^~u\t^Wjv{jdG t=1.7s
TIGHT n=18 m=110 tag=perturb g6=Qv~Z}U~YlzxGbNlnv]~w}^vynVW t=0.6s
TIGHT n=18 m=96 tag=perturb g6=QL`z^w~Jv|`x`fLzXXrd~^NstY_ t=0.5s
TIGHT n=18 m=103 tag=perturb g6=Q|Zh]\zneavzJn|v~~yQ\dauZ\_ t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Qm}vm]{NhzhKi~|~k}^n^y`zLBw t=1.0s
TIGHT n=18 m=103 tag=perturb g6=Q~X]z}zzsaUEvll^^vyTtLJ^qNw t=1.8s
TIGHT n=18 m=112 tag=perturb g6=Q}xfv\v\|~fw`^~~mr~ywdN}xtw t=0.8s
TIGHT n=18 m=111 tag=perturb g6=Q|yx~y}~}frmZflZp]xp|~n}hxg t=1.5s
TIGHT n=18 m=110 tag=perturb g6=Qvm~wkR~t~avz^hz{jEw^km~~^w t=0.9s
TIGHT n=18 m=100 tag=perturb g6=QvzyvlX^kuemh{Zf~z}hJgf~`Wo t=0.5s
TIGHT n=18 m=109 tag=perturb g6=Qv\{~r~UhrpGb~J\~|~z}Nqp~Vw t=1.5s
TIGHT n=18 m=98 tag=perturb g6=Q|zW\IZ^~npiIlWN^Jx_f|l~Q^w t=0.7s
TIGHT n=18 m=105 tag=perturb g6=Q}nR~yuunz|GblbFv|^J]wvnlNW t=0.3s
TIGHT n=18 m=114 tag=perturb g6=Q~~~v~yUW~X}z~^jN^hu^|RumMW t=0.8s
TIGHT n=18 m=118 tag=perturb g6=Q}x~~|v^|~Fzn~t|kZ~aLfNm|vw t=1.7s
TIGHT n=18 m=118 tag=perturb g6=Qx\]s~vRw~~zj~h|}W~~z{Nn~nw t=0.6s
TIGHT n=18 m=98 tag=perturb g6=QfZ]vnjPWvF{H^dt~WzB\j~ujQw t=1.6s
TIGHT n=18 m=107 tag=perturb g6=Q~b~l[vVl~kdp^R]njfg|mR~V^w t=1.1s
TIGHT n=18 m=108 tag=perturb g6=Qn_~{|v}|nztkZDNny~g|s}]^Xw t=0.3s
TIGHT n=18 m=104 tag=perturb g6=QU}~n^~Wl|xGvlXB~}uhMz~}cEw t=1.7s
TIGHT n=18 m=113 tag=perturb g6=Q^^{~~tv^vx}gy|~nsLu^~RufN_ t=1.0s
TIGHT n=18 m=105 tag=perturb g6=Q{^~iYeY}^UIrz|~nUK~n^Vu{To t=0.4s
TIGHT n=18 m=99 tag=perturb g6=Q~]pfZ}|[twoym|~eU{VntRRFj_ t=0.4s
TIGHT n=18 m=92 tag=perturb g6=Q{^daY{VYyoIrz|~mULr~`RuwTO t=0.3s
TIGHT n=18 m=113 tag=perturb g6=QVZw}~~]xqxXb\|~~x~z}^rp|VW t=1.8s
TIGHT n=18 m=119 tag=perturb g6=Qv~~||v^|nf~z~f~sZ~z\kc~ANw t=2.1s
TIGHT n=18 m=108 tag=perturb g6=Q}^|F~{bY~L}~zlxN^yuXlVuFMw t=0.9s
TIGHT n=18 m=95 tag=perturb g6=QS}gvxw^wB`manl\vZxD|bf}jZw t=0.3s
TIGHT n=18 m=114 tag=perturb g6=Qt~zv~h^{~xqyu|v~Ztrz^tylRo t=2.0s
TIGHT n=18 m=113 tag=perturb g6=Q[Mjn}|^|mz~r|Lz}qnHZ}nn|^g t=0.8s
TIGHT n=18 m=112 tag=perturb g6=Q|yx~y}~~brmJntZp]xvt~~mh[w t=1.3s
TIGHT n=18 m=99 tag=perturb g6=Qvnt{kvENqNtzzSYfRfg|cq}zvw t=0.3s
TIGHT n=18 m=100 tag=perturb g6=Q{NRczz]zDvN_fT\}S|@|~n}y]w t=0.3s
TIGHT n=18 m=97 tag=perturb g6=Qskz^ce^v~av~VhznXEkXkuc^TW t=0.3s
TIGHT n=18 m=100 tag=perturb g6=QvtukV~[WbH?`n~~~]~zkXbylVw t=0.4s
TIGHT n=18 m=110 tag=perturb g6=Q~~w~L~r}aumFl|^~^yPtmjwr^w t=0.6s
TIGHT n=18 m=114 tag=perturb g6=Q~n~Nxu^tZfrrltPzjnz{{e~~^w t=1.8s
TIGHT n=18 m=102 tag=perturb g6=Qm~|jZsV]|omBxnn\YW}nnru{VO t=0.3s
TIGHT n=18 m=107 tag=perturb g6=Q}~zo|fVl^d[~]T^mzLg~_qn~^w t=0.9s
TIGHT n=18 m=125 tag=perturb g6=Q}z~mz~]|zxMz~|~~]vz]~n~nUW t=2.4s
TIGHT n=18 m=104 tag=perturb g6=Qun~k|VVw~bz~{SzzJtj?{e}vNW t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Q`YG}N~niqujBn|]~^zp|jjmz^w t=1.8s
TIGHT n=18 m=118 tag=perturb g6=Q|rx^~f^~Jpnjn{~|nYP|~n}z^w t=0.8s
TIGHT n=18 m=103 tag=perturb g6=QkT}~szN|mnxbvFv|zdaN[~TLdw t=1.7s
TIGHT n=18 m=117 tag=perturb g6=Qzn~|}vV{~nez^t]Nz^K}kqt~~w t=2.3s
TIGHT n=18 m=107 tag=perturb g6=Qvm^ygP~v~a}z^hzwJEw^ku~~^w t=0.8s
TIGHT n=18 m=103 tag=perturb g6=QMT]V~~V{^Zm~ulYHNhEX~Buvnw t=0.6s
TIGHT n=18 m=107 tag=perturb g6=QZm~zyz^~ziHx||xKeB^^nvvlBW t=0.3s
TIGHT n=18 m=108 tag=perturb g6=QXl|vSvMt~N}zztVnz~fGlM}lVw t=0.4s
TIGHT n=18 m=102 tag=perturb g6=QxG~|w~^{nwV}MOVJy|s|tsVz\w t=0.4s
TIGHT n=18 m=98 tag=perturb g6=Ql~|jZu\]nskVXvv^ZGMF~QQe\g t=0.3s
TIGHT n=18 m=134 tag=perturb g6=Qv~~~~~^|~x}z~|~~^zz~vnwnVw t=0.4s
TIGHT n=18 m=103 tag=perturb g6=QVlpz_vv|uNVzzD]~peg~cq}zvw t=0.3s
TIGHT n=18 m=102 tag=perturb g6=QQtx~}VszFrf`v[Zf^Zr{Nz}bUw t=0.3s
TIGHT n=18 m=105 tag=perturb g6=QV}~n^~Wl|xGvlXB~}uhMv~}cEw t=0.4s
TIGHT n=18 m=103 tag=perturb g6=Q^nbdxzX|~z{z||NnphjLw_|lYo t=0.3s
TIGHT n=18 m=102 tag=perturb g6=QLYGzFvj}asxJnd^~^zo|}NYz^w t=0.4s
TIGHT n=18 m=115 tag=perturb g6=Q~nn~|fJN^fsz~o~~\vjnwe~xZo t=1.8s
TIGHT n=18 m=109 tag=perturb g6=Q~jyv\P^|remzss~~i~jb{u||Zo t=0.7s
TIGHT n=18 m=101 tag=perturb g6=QV_~\{z^|nhfoUK^iyzg~x}S~\W t=0.3s
TIGHT n=18 m=104 tag=perturb g6=QuU[fr{uktWkz~x~hMx}V~Rv~]o t=0.6s
TIGHT n=18 m=110 tag=perturb g6=QZ]|bzlV[|xmzm|~l~|uNNRu{^o t=0.7s
TIGHT n=18 m=108 tag=perturb g6=Qyn~|{vz|}~ufRD\nzhgX[vl~Qw t=1.7s
TIGHT n=18 m=111 tag=perturb g6=Q^M~v}tv[|Xmxxlvn{nv^|]ufN_ t=0.3s
TIGHT n=18 m=118 tag=perturb g6=Qz~~~~~]lziHx~llNuv~^^vmhVW t=0.8s
TIGHT n=18 m=103 tag=perturb g6=QqX|^|vN|mfzf~d^lZ~ELDF[lvO t=0.4s
TIGHT n=18 m=105 tag=perturb g6=Qv]x~z}~~bvmHnTZp]jsO~n}`Iw t=1.1s
TIGHT n=18 m=109 tag=perturb g6=Q|zWn^~jUeqJBn|~~Ozpvmn}z^w t=1.0s
TIGHT n=18 m=106 tag=perturb g6=Q~Jy^\W^|rem}ss~na~jb{u||Zo t=0.4s
TIGHT n=18 m=108 tag=perturb g6=QfZ]rnz^xfrnjnH]vZxPdjn}z^w t=1.1s
TIGHT n=18 m=97 tag=perturb g6=QZFt|{vLSwPdn]u]n~{H\IaznVw t=0.4s
TIGHT n=18 m=109 tag=perturb g6=Qz|Mr}gJ{|x}qtl~N^~zW^^knNw t=1.2s
TIGHT n=18 m=93 tag=perturb g6=QP]^fck}G|P|w|N^^^x~J?eKiNw t=0.2s
TIGHT n=18 m=106 tag=perturb g6=Q^|||{v}xzevzV@]nzlwpw}Iv\g t=2.0s
TIGHT n=18 m=105 tag=perturb g6=QzZXb~z~~fpVlqXvZBX~L|~{jKW t=0.3s
TIGHT n=18 m=114 tag=perturb g6=Q~f~~lEN|}f~|~|VVi~j\{s~UtG t=1.8s
TIGHT n=18 m=113 tag=perturb g6=QCz|~~~^}frfnNw^~V^`h~n}bTw t=0.3s
TIGHT n=18 m=110 tag=perturb g6=Q~z|Nz~^~~jmbnhNv\zp|ZlwZ?g t=0.3s
TIGHT n=18 m=114 tag=perturb g6=Q^|z~~wN]~x~z]sxv\|~Y^rYhVW t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Q~yvtXxYhzjLjZ|lLSr^^NfvlNW t=1.3s
TIGHT n=18 m=114 tag=perturb g6=Q~|~nhvN|~f~x~v}nZzaHNEy|rg t=0.6s
TIGHT n=18 m=108 tag=perturb g6=Ql^GkMvnmavjF~|^|~zT|lj}Z^o t=0.3s
TIGHT n=18 m=98 tag=perturb g6=Q{zx}G~^^noNjFVrZNwd{]fsJwg t=0.6s
TIGHT n=18 m=106 tag=perturb g6=Q|dv~xvMt~l[z~olm\~aL~euLro t=1.0s
TIGHT n=18 m=113 tag=perturb g6=Q~jq~~P^|vf}zss~~z~ifWe||Xw t=1.9s
TIGHT n=18 m=114 tag=perturb g6=QZ^zbykV[|x}z~|~n^|]N}ru{^o t=0.4s
TIGHT n=18 m=92 tag=perturb g6=QwxgZPzbviueUh\^~~wpKmjGeVw t=0.3s
TIGHT n=18 m=107 tag=perturb g6=Qv^~m~lrZVxaz~Utl^xi\}najjG t=1.8s
